bin,n_races,hit_rate,roi,avg_odds_on_hits,n,top_n,condition
"(0.116, 0.206]",395.0,0.030379746835443037,0.3265822784810127,43.666666666666664,395.0,1,pl_prob_bin
"(0.0321, 0.0756]",395.0,0.027848101265822784,-0.25569620253164554,26.727272727272727,395.0,1,pl_prob_bin
"(0.094, 0.116]",394.0,0.03553299492385787,-0.5195431472081218,13.521428571428572,394.0,1,pl_prob_bin
"(0.0756, 0.094]",394.0,0.030456852791878174,-0.551522842639594,14.725,394.0,1,pl_prob_bin
"(0.0199, 0.0875]",395.0,0.02278481012658228,-0.09696202531645573,39.63333333333333,395.0,1,gap_bin
"(-0.00099113, 0.00389]",395.0,0.02278481012658228,-0.27265822784810123,31.922222222222224,395.0,1,gap_bin
"(0.00924, 0.0199]",394.0,0.04060913705583756,-0.2860406091370558,17.58125,394.0,1,gap_bin
"(0.00389, 0.00924]",394.0,0.03807106598984772,-0.34340101522842625,17.24666666666667,394.0,1,gap_bin
"[6.0, 8.0)",138.0,0.028985507246376812,0.2543478260869565,43.275,138.0,1,wind_bin
"[4.0, 6.0)",465.0,0.02795698924731183,-0.19333333333333327,28.853846153846156,465.0,1,wind_bin
"[2.0, 4.0)",584.0,0.03595890410958904,-0.2554794520547946,20.704761904761902,584.0,1,wind_bin
"[-inf, 2.0)",365.0,0.0273972602739726,-0.5131506849315068,17.77,365.0,1,wind_bin
"[-inf, 0.5)",1578.0,0.031051964512040557,-0.24968314321926488,24.163265306122447,1578.0,1,wave_bin
若 松,1578.0,0.031051964512040557,-0.24968314321926488,24.163265306122447,1578.0,1,venue
"(0.116, 0.206]",395.0,0.06582278481012659,0.1389873417721517,34.607692307692304,395.0,2,pl_prob_bin
"(0.094, 0.116]",394.0,0.06598984771573604,-0.42956852791878175,17.28846153846154,394.0,2,pl_prob_bin
"(0.0321, 0.0756]",395.0,0.04810126582278481,-0.439873417721519,23.289473684210527,395.0,2,pl_prob_bin
"(0.0756, 0.094]",394.0,0.0532994923857868,-0.5416243654822335,17.2,394.0,2,pl_prob_bin
"(0.0199, 0.0875]",395.0,0.05063291139240506,-0.2541772151898735,29.459999999999997,395.0,2,gap_bin
"(0.00389, 0.00924]",394.0,0.06345177664974619,-0.30558375634517776,21.887999999999998,394.0,2,gap_bin
"(0.00924, 0.0199]",394.0,0.07614213197969544,-0.31484771573604065,17.996666666666666,394.0,2,gap_bin
"(-0.00099113, 0.00389]",395.0,0.043037974683544304,-0.3965822784810127,28.041176470588233,395.0,2,gap_bin
"[6.0, 8.0)",138.0,0.036231884057971016,-0.24746376811594206,41.54,138.0,2,wind_bin
"[-inf, 2.0)",365.0,0.0684931506849315,-0.3076712328767123,20.216,365.0,2,wind_bin
"[2.0, 4.0)",584.0,0.06335616438356165,-0.3196061643835616,21.47837837837838,584.0,2,wind_bin
"[4.0, 6.0)",465.0,0.047311827956989246,-0.34268817204301066,27.78636363636364,465.0,2,wind_bin
"[-inf, 0.5)",1578.0,0.058301647655259824,-0.31780735107731306,23.402173913043477,1578.0,2,wave_bin
若 松,1578.0,0.058301647655259824,-0.31780735107731306,23.402173913043477,1578.0,2,venue
"(0.116, 0.206]",395.0,0.10379746835443038,0.034092827004219485,29.887804878048783,395.0,3,pl_prob_bin
"(0.094, 0.116]",394.0,0.1116751269035533,-0.14915397631133678,22.85681818181818,394.0,3,pl_prob_bin
"(0.0321, 0.0756]",395.0,0.053164556962025315,-0.5045569620253163,27.957142857142863,395.0,3,pl_prob_bin
"(0.0756, 0.094]",394.0,0.07868020304568528,-0.5063451776649747,18.822580645161292,394.0,3,pl_prob_bin
"(0.0199, 0.0875]",395.0,0.09367088607594937,-0.04877637130801684,30.464864864864865,395.0,3,gap_bin
"(0.00924, 0.0199]",394.0,0.11421319796954314,-0.2869712351945855,18.72888888888889,394.0,3,gap_bin
"(-0.00099113, 0.00389]",395.0,0.060759493670886074,-0.3258227848101266,33.2875,395.0,3,gap_bin
"(0.00389, 0.00924]",394.0,0.07868020304568528,-0.4646362098138748,20.41290322580645,394.0,3,gap_bin
"[-inf, 2.0)",365.0,0.0958904109589041,-0.20785388127853882,24.782857142857143,365.0,3,wind_bin
"[4.0, 6.0)",465.0,0.07311827956989247,-0.22014336917562718,31.997058823529414,465.0,3,wind_bin
"[2.0, 4.0)",584.0,0.0976027397260274,-0.3308219178082191,20.56842105263158,584.0,3,wind_bin
"[6.0, 8.0)",138.0,0.057971014492753624,-0.4200483091787439,30.012500000000003,138.0,3,wind_bin
"[-inf, 0.5)",1578.0,0.08681875792141952,-0.2814321926489226,24.829927007299272,1578.0,3,wave_bin
若 松,1578.0,0.08681875792141952,-0.2814321926489226,24.829927007299272,1578.0,3,venue
"(0.116, 0.206]",395.0,0.12658227848101267,-0.020189873417721577,30.962,395.0,4,pl_prob_bin
"(0.094, 0.116]",394.0,0.1446700507614213,-0.218020304568528,21.621052631578944,394.0,4,pl_prob_bin
"(0.0756, 0.094]",394.0,0.10913705583756345,-0.382233502538071,22.64186046511628,394.0,4,pl_prob_bin
"(0.0321, 0.0756]",395.0,0.06835443037974684,-0.49962025316455694,29.28148148148148,395.0,4,pl_prob_bin
"(0.0199, 0.0875]",395.0,0.1189873417721519,-0.05443037974683544,31.78723404255319,395.0,4,gap_bin
"(0.00924, 0.0199]",394.0,0.1446700507614213,-0.18331218274111666,22.580701754385966,394.0,4,gap_bin
"(-0.00099113, 0.00389]",395.0,0.0759493670886076,-0.42803797468354426,30.123333333333335,395.0,4,gap_bin
"(0.00389, 0.00924]",394.0,0.10913705583756345,-0.4543781725888325,19.99767441860465,394.0,4,gap_bin
"[4.0, 6.0)",465.0,0.0989247311827957,-0.2549462365591398,30.12608695652174,465.0,4,wind_bin
"[-inf, 2.0)",365.0,0.12876712328767123,-0.2692465753424658,22.699999999999996,365.0,4,wind_bin
"[2.0, 4.0)",584.0,0.11815068493150685,-0.2910530821917808,24.001449275362322,584.0,4,wind_bin
"[6.0, 8.0)",138.0,0.07971014492753623,-0.4335144927536232,28.427272727272726,138.0,4,wind_bin
"[-inf, 0.5)",1578.0,0.11216730038022814,-0.27999049429657796,25.676271186440676,1578.0,4,wave_bin
若 松,1578.0,0.11216730038022814,-0.27999049429657796,25.676271186440676,1578.0,4,venue
"(0.116, 0.206]",395.0,0.14936708860759493,-0.15807594936708863,28.183050847457626,395.0,5,pl_prob_bin
"(0.094, 0.116]",394.0,0.15736040609137056,-0.3386294416243654,21.01451612903226,394.0,5,pl_prob_bin
"(0.0321, 0.0756]",395.0,0.08354430379746836,-0.4443544303797468,33.25454545454546,395.0,5,pl_prob_bin
"(0.0756, 0.094]",394.0,0.11928934010152284,-0.4614213197969542,22.57446808510639,394.0,5,pl_prob_bin
"(0.0199, 0.0875]",395.0,0.14177215189873418,-0.18673417721518984,28.682142857142857,395.0,5,gap_bin
"(0.00924, 0.0199]",394.0,0.1548223350253807,-0.29121827411167517,22.89016393442623,394.0,5,gap_bin
"(-0.00099113, 0.00389]",395.0,0.08860759493670886,-0.42673417721518975,32.34857142857144,395.0,5,gap_bin
"(0.00389, 0.00924]",394.0,0.12436548223350254,-0.49776649746192897,20.191836734693876,394.0,5,gap_bin
"[4.0, 6.0)",465.0,0.11612903225806452,-0.31088172043010753,29.67037037037037,465.0,5,wind_bin
"[-inf, 2.0)",365.0,0.14520547945205478,-0.3242739726027397,23.267924528301887,365.0,5,wind_bin
"[2.0, 4.0)",584.0,0.13013698630136986,-0.39191780821917804,23.363157894736844,584.0,5,wind_bin
"[6.0, 8.0)",138.0,0.10144927536231885,-0.43492753623188407,27.849999999999998,138.0,5,wind_bin
"[-inf, 0.5)",1578.0,0.12737642585551331,-0.35055766793409376,25.493034825870648,1578.0,5,wave_bin
若 松,1578.0,0.12737642585551331,-0.35055766793409376,25.493034825870648,1578.0,5,venue
