weather_txt,n,hit_rate,avg_odds_on_hits,roi,top_n,condition,wind_speed_bin,wind_compass8,wind_relative,wave_height_bin,air_temp_bin,water_temp_bin,venue
晴,328.0,0.036585365853658534,32.616666666666674,0.19329268292682955,1,weather_txt,,,,,,,
曇り,96.0,0.010416666666666666,3.5,-0.9635416666666666,1,weather_txt,,,,,,,
,199.0,0.035175879396984924,30.200000000000006,0.06231155778894489,1,wind_speed_bin,"(-inf, 2.0]",,,,,,
,195.0,0.03076923076923077,31.133333333333336,-0.042051282051281995,1,wind_speed_bin,"(2.0, 4.0]",,,,,,
,61.0,0.01639344262295082,7.0,-0.8852459016393442,1,wind_speed_bin,"(4.0, 6.0]",,,,,,
,88.0,0.022727272727272728,9.55,-0.7829545454545456,1,wind_compass8,,E,,,,,
,107.0,0.028037383177570093,53.06666666666666,0.48785046728971954,1,wind_compass8,,N,,,,,
,105.0,0.047619047619047616,7.960000000000001,-0.6209523809523808,1,wind_compass8,,NE,,,,,
,82.0,0.0,,-1.0,1,wind_compass8,,SE,,,,,
,278.0,0.025179856115107913,8.414285714285715,-0.7881294964028777,1,wind_relative,,,headwind,,,,
,169.0,0.04142011834319527,49.471428571428575,1.049112426035503,1,wind_relative,,,tailwind,,,,
,97.0,0.041237113402061855,6.175,-0.7453608247422681,1,wave_height_bin,,,,"(0.5, 1.0]",,,
,93.0,0.03225806451612903,62.23333333333334,1.0075268817204304,1,wave_height_bin,,,,"(1.0, 2.0]",,,
,257.0,0.027237354085603113,27.685714285714287,-0.2459143968871595,1,wave_height_bin,,,,"(2.0, inf]",,,
,128.0,0.0234375,7.466666666666668,-0.825,1,air_temp_bin,,,,,"(13.999, 21.0]",,
,104.0,0.028846153846153848,21.833333333333332,-0.3701923076923077,1,air_temp_bin,,,,,"(21.0, 25.0]",,
,114.0,0.03508771929824561,31.299999999999997,0.09824561403508762,1,air_temp_bin,,,,,"(25.0, 29.0]",,
,110.0,0.03636363636363636,48.025000000000006,0.7463636363636366,1,air_temp_bin,,,,,"(29.0, 33.0]",,
,120.0,0.025,7.466666666666668,-0.8133333333333332,1,water_temp_bin,,,,,,"(16.999, 20.0]",
,132.0,0.030303030303030304,40.8,0.23636363636363628,1,water_temp_bin,,,,,,"(20.0, 25.0]",
,144.0,0.041666666666666664,35.18333333333334,0.4659722222222224,1,water_temp_bin,,,,,,"(25.0, 29.0]",
,60.0,0.016666666666666666,8.5,-0.8583333333333333,1,water_temp_bin,,,,,,"(29.0, 30.0]",
,456.0,0.03070175438596491,28.94285714285715,-0.1114035087719296,1,venue,,,,,,,若松
晴,168.0,0.03571428571428571,34.650000000000006,0.2375000000000002,1,weather_txt × wind_speed_bin,"(-inf, 2.0]",,,,,,
晴,115.0,0.043478260869565216,35.3,0.5347826086956522,1,weather_txt × wind_speed_bin,"(2.0, 4.0]",,,,,,
曇り,61.0,0.0,,-1.0,1,weather_txt × wind_speed_bin,"(2.0, 4.0]",,,,,,
晴,80.0,0.0375,7.066666666666666,-0.735,1,weather_txt × wave_height_bin,,,,"(0.5, 1.0]",,,
晴,82.0,0.036585365853658534,62.23333333333334,1.2768292682926832,1,weather_txt × wave_height_bin,,,,"(1.0, 2.0]",,,
晴,160.0,0.0375,30.583333333333332,0.146875,1,weather_txt × wave_height_bin,,,,"(2.0, inf]",,,
曇り,75.0,0.0,,-1.0,1,weather_txt × wave_height_bin,,,,"(2.0, inf]",,,
,110.0,0.02727272727272727,7.066666666666666,-0.8072727272727273,1,wind_relative × wind_speed_bin,"(-inf, 2.0]",,headwind,,,,
,132.0,0.030303030303030304,9.425,-0.7143939393939394,1,wind_relative × wind_speed_bin,"(2.0, 4.0]",,headwind,,,,
,80.0,0.05,47.550000000000004,1.3775000000000002,1,wind_relative × wind_speed_bin,"(-inf, 2.0]",,tailwind,,,,
,63.0,0.031746031746031744,74.55,1.3666666666666665,1,wind_relative × wind_speed_bin,"(2.0, 4.0]",,tailwind,,,,
,278.0,0.025179856115107913,8.414285714285715,-0.7881294964028777,1,venue × wind_relative,,,headwind,,,,若松
,169.0,0.04142011834319527,49.471428571428575,1.049112426035503,1,venue × wind_relative,,,tailwind,,,,若松
晴,328.0,0.054878048780487805,33.99444444444444,-0.06722560975609759,2,weather_txt,,,,,,,
曇り,96.0,0.08333333333333333,34.9875,0.4578124999999999,2,weather_txt,,,,,,,
,199.0,0.06030150753768844,37.966666666666676,0.14472361809045245,2,wind_speed_bin,"(-inf, 2.0]",,,,,,
,195.0,0.07179487179487179,31.392857142857142,0.12692307692307692,2,wind_speed_bin,"(2.0, 4.0]",,,,,,
,61.0,0.01639344262295082,7.0,-0.9426229508196722,2,wind_speed_bin,"(4.0, 6.0]",,,,,,
,88.0,0.07954545454545454,24.271428571428572,-0.034659090909090876,2,wind_compass8,,E,,,,,
,107.0,0.056074766355140186,48.51666666666667,0.3602803738317758,2,wind_compass8,,N,,,,,
,105.0,0.05714285714285714,24.150000000000002,-0.31,2,wind_compass8,,NE,,,,,
,82.0,0.012195121951219513,30.6,-0.8134146341463415,2,wind_compass8,,SE,,,,,
,278.0,0.050359712230215826,24.671428571428574,-0.37877697841726615,2,wind_relative,,,headwind,,,,
,169.0,0.07100591715976332,45.625,0.6198224852071006,2,wind_relative,,,tailwind,,,,
,97.0,0.07216494845360824,35.25714285714286,0.2721649484536083,2,wave_height_bin,,,,"(0.5, 1.0]",,,
,93.0,0.043010752688172046,49.9,0.07311827956989245,2,wave_height_bin,,,,"(1.0, 2.0]",,,
,257.0,0.058365758754863814,29.766666666666666,-0.13132295719844359,2,wave_height_bin,,,,"(2.0, inf]",,,
,128.0,0.046875,16.28333333333333,-0.618359375,2,air_temp_bin,,,,,"(13.999, 21.0]",,
,104.0,0.08653846153846154,28.188888888888886,0.2197115384615384,2,air_temp_bin,,,,,"(21.0, 25.0]",,
,114.0,0.043859649122807015,36.279999999999994,-0.2043859649122808,2,air_temp_bin,,,,,"(25.0, 29.0]",,
,110.0,0.06363636363636363,52.75714285714287,0.6786363636363639,2,air_temp_bin,,,,,"(29.0, 33.0]",,
,120.0,0.05,16.28333333333333,-0.5929166666666668,2,water_temp_bin,,,,,,"(16.999, 20.0]",
,132.0,0.07575757575757576,35.14,0.33106060606060617,2,water_temp_bin,,,,,,"(20.0, 25.0]",
,144.0,0.05555555555555555,35.400000000000006,-0.01666666666666651,2,water_temp_bin,,,,,,"(25.0, 29.0]",
,60.0,0.05,56.6,0.4150000000000001,2,water_temp_bin,,,,,,"(29.0, 30.0]",
,456.0,0.05921052631578947,33.41111111111111,-0.010855263157894712,2,venue,,,,,,,若松
晴,168.0,0.05357142857142857,42.455555555555556,0.13720238095238102,2,weather_txt × wind_speed_bin,"(-inf, 2.0]",,,,,,
晴,115.0,0.06956521739130435,27.85,-0.03130434782608691,2,weather_txt × wind_speed_bin,"(2.0, 4.0]",,,,,,
曇り,61.0,0.08196721311475409,41.28,0.6918032786885246,2,weather_txt × wind_speed_bin,"(2.0, 4.0]",,,,,,
晴,80.0,0.0625,36.5,0.140625,2,weather_txt × wave_height_bin,,,,"(0.5, 1.0]",,,
晴,82.0,0.04878048780487805,49.9,0.2170731707317073,2,weather_txt × wave_height_bin,,,,"(1.0, 2.0]",,,
晴,160.0,0.05625,25.533333333333335,-0.281875,2,weather_txt × wave_height_bin,,,,"(2.0, inf]",,,
曇り,75.0,0.06666666666666667,41.28,0.37600000000000006,2,weather_txt × wave_height_bin,,,,"(2.0, inf]",,,
,110.0,0.03636363636363636,31.575,-0.4259090909090909,2,wind_relative × wind_speed_bin,"(-inf, 2.0]",,headwind,,,,
,132.0,0.07575757575757576,21.91,-0.1700757575757576,2,wind_relative × wind_speed_bin,"(2.0, 4.0]",,headwind,,,,
,80.0,0.0875,45.72857142857144,1.0006250000000005,2,wind_relative × wind_speed_bin,"(-inf, 2.0]",,tailwind,,,,
,63.0,0.06349206349206349,55.099999999999994,0.749206349206349,2,wind_relative × wind_speed_bin,"(2.0, 4.0]",,tailwind,,,,
,278.0,0.050359712230215826,24.671428571428574,-0.37877697841726615,2,venue × wind_relative,,,headwind,,,,若松
,169.0,0.07100591715976332,45.625,0.6198224852071006,2,venue × wind_relative,,,tailwind,,,,若松
晴,328.0,0.09451219512195122,30.425806451612903,-0.041463414634146295,3,weather_txt,,,,,,,
曇り,96.0,0.11458333333333333,34.95454545454545,0.3350694444444444,3,weather_txt,,,,,,,
,199.0,0.10552763819095477,30.75714285714285,0.08190954773869324,3,wind_speed_bin,"(-inf, 2.0]",,,,,,
,195.0,0.11282051282051282,31.713636363636365,0.19264957264957272,3,wind_speed_bin,"(2.0, 4.0]",,,,,,
,61.0,0.01639344262295082,7.0,-0.9617486338797814,3,wind_speed_bin,"(4.0, 6.0]",,,,,,
,88.0,0.11363636363636363,32.97,0.24886363636363631,3,wind_compass8,,E,,,,,
,107.0,0.09345794392523364,42.440000000000005,0.3221183800623054,3,wind_compass8,,N,,,,,
,105.0,0.09523809523809523,16.549999999999997,-0.4746031746031747,3,wind_compass8,,NE,,,,,
,82.0,0.04878048780487805,29.949999999999996,-0.5130081300813009,3,wind_compass8,,SE,,,,,
,278.0,0.08633093525179857,25.625,-0.26258992805755393,3,wind_relative,,,headwind,,,,
,169.0,0.11242603550295859,38.23157894736842,0.43274161735700195,3,wind_relative,,,tailwind,,,,
,97.0,0.12371134020618557,33.699999999999996,0.3896907216494845,3,wave_height_bin,,,,"(0.5, 1.0]",,,
,93.0,0.08602150537634409,29.0375,-0.16738351254480283,3,wave_height_bin,,,,"(1.0, 2.0]",,,
,257.0,0.08949416342412451,30.63913043478261,-0.08599221789883263,3,wave_height_bin,,,,"(2.0, inf]",,,
,128.0,0.109375,22.95,-0.16328124999999996,3,air_temp_bin,,,,,"(13.999, 21.0]",,
,104.0,0.11538461538461539,28.5,0.09615384615384616,3,air_temp_bin,,,,,"(21.0, 25.0]",,
,114.0,0.07894736842105263,31.544444444444448,-0.1698830409356724,3,air_temp_bin,,,,,"(25.0, 29.0]",,
,110.0,0.08181818181818182,44.82222222222222,0.22242424242424252,3,air_temp_bin,,,,,"(29.0, 33.0]",,
,120.0,0.11666666666666667,22.95,-0.10749999999999997,3,water_temp_bin,,,,,,"(16.999, 20.0]",
,132.0,0.10606060606060606,36.55,0.292171717171717,3,water_temp_bin,,,,,,"(20.0, 25.0]",
,144.0,0.08333333333333333,28.083333333333332,-0.2199074074074074,3,water_temp_bin,,,,,,"(25.0, 29.0]",
,60.0,0.06666666666666667,45.150000000000006,0.0033333333333334597,3,water_temp_bin,,,,,,"(29.0, 30.0]",
,456.0,0.09649122807017543,30.69545454545454,-0.012719298245614102,3,venue,,,,,,,若松
晴,168.0,0.09523809523809523,33.2375,0.05515873015873007,3,weather_txt × wind_speed_bin,"(-inf, 2.0]",,,,,,
晴,115.0,0.12173913043478261,28.885714285714283,0.1721739130434782,3,weather_txt × wind_speed_bin,"(2.0, 4.0]",,,,,,
曇り,61.0,0.11475409836065574,40.42857142857143,0.546448087431694,3,weather_txt × wind_speed_bin,"(2.0, 4.0]",,,,,,
晴,80.0,0.1125,34.67777777777778,0.3004166666666668,3,weather_txt × wave_height_bin,,,,"(0.5, 1.0]",,,
晴,82.0,0.08536585365853659,31.385714285714283,-0.1069105691056911,3,weather_txt × wave_height_bin,,,,"(1.0, 2.0]",,,
晴,160.0,0.09375,27.426666666666666,-0.14291666666666672,3,weather_txt × wave_height_bin,,,,"(2.0, inf]",,,
曇り,75.0,0.09333333333333334,40.42857142857143,0.2577777777777778,3,weather_txt × wave_height_bin,,,,"(2.0, inf]",,,
,110.0,0.07272727272727272,19.4125,-0.5293939393939393,3,wind_relative × wind_speed_bin,"(-inf, 2.0]",,headwind,,,,
,132.0,0.12121212121212122,28.731250000000003,0.16085858585858598,3,wind_relative × wind_speed_bin,"(2.0, 4.0]",,headwind,,,,
,80.0,0.15,40.11666666666667,1.0058333333333336,3,wind_relative × wind_speed_bin,"(-inf, 2.0]",,tailwind,,,,
,63.0,0.09523809523809523,39.666666666666664,0.25925925925925924,3,wind_relative × wind_speed_bin,"(2.0, 4.0]",,tailwind,,,,
,278.0,0.08633093525179857,25.625,-0.26258992805755393,3,venue × wind_relative,,,headwind,,,,若松
,169.0,0.11242603550295859,38.23157894736842,0.43274161735700195,3,venue × wind_relative,,,tailwind,,,,若松
晴,328.0,0.10670731707317073,27.662857142857145,-0.26204268292682925,4,weather_txt,,,,,,,
曇り,96.0,0.13541666666666666,32.13846153846154,0.08802083333333337,4,weather_txt,,,,,,,
,199.0,0.11557788944723618,29.752173913043475,-0.1403266331658292,4,wind_speed_bin,"(-inf, 2.0]",,,,,,
,195.0,0.13333333333333333,27.634615384615383,-0.07884615384615384,4,wind_speed_bin,"(2.0, 4.0]",,,,,,
,61.0,0.03278688524590164,6.05,-0.9504098360655738,4,wind_speed_bin,"(4.0, 6.0]",,,,,,
,88.0,0.13636363636363635,28.366666666666664,-0.03295454545454552,4,wind_compass8,,E,,,,,
,107.0,0.102803738317757,38.95454545454546,0.0011682242990655534,4,wind_compass8,,N,,,,,
,105.0,0.10476190476190476,15.881818181818181,-0.584047619047619,4,wind_compass8,,NE,,,,,
,82.0,0.07317073170731707,25.833333333333332,-0.5274390243902439,4,wind_compass8,,SE,,,,,
,278.0,0.10431654676258993,23.106896551724137,-0.39739208633093526,4,wind_relative,,,headwind,,,,
,169.0,0.1242603550295858,35.02857142857143,0.08816568047337281,4,wind_relative,,,tailwind,,,,
,97.0,0.12371134020618557,33.699999999999996,0.04226804123711334,4,wave_height_bin,,,,"(0.5, 1.0]",,,
,93.0,0.10752688172043011,27.070000000000004,-0.2723118279569891,4,wave_height_bin,,,,"(1.0, 2.0]",,,
,257.0,0.10894941634241245,26.092857142857145,-0.2892996108949416,4,wave_height_bin,,,,"(2.0, inf]",,,
,128.0,0.1328125,20.03529411764706,-0.33476562499999996,4,air_temp_bin,,,,,"(13.999, 21.0]",,
,104.0,0.125,28.55384615384616,-0.10769230769230759,4,air_temp_bin,,,,,"(21.0, 25.0]",,
,114.0,0.10526315789473684,24.975000000000005,-0.34276315789473677,4,air_temp_bin,,,,,"(25.0, 29.0]",,
,110.0,0.08181818181818182,44.82222222222222,-0.0831818181818181,4,air_temp_bin,,,,,"(29.0, 33.0]",,
,120.0,0.14166666666666666,20.03529411764706,-0.2904166666666666,4,water_temp_bin,,,,,,"(16.999, 20.0]",
,132.0,0.11363636363636363,36.06000000000001,0.024431818181818353,4,water_temp_bin,,,,,,"(20.0, 25.0]",
,144.0,0.09722222222222222,24.864285714285717,-0.3956597222222222,4,water_temp_bin,,,,,,"(25.0, 29.0]",
,60.0,0.08333333333333333,37.06,-0.22791666666666663,4,water_temp_bin,,,,,,"(29.0, 30.0]",
,456.0,0.1118421052631579,27.743137254901956,-0.22428728070175447,4,venue,,,,,,,若松
晴,168.0,0.10119047619047619,31.823529411764707,-0.1949404761904762,4,weather_txt × wind_speed_bin,"(-inf, 2.0]",,,,,,
晴,115.0,0.1391304347826087,25.943749999999998,-0.09760869565217399,4,weather_txt × wind_speed_bin,"(2.0, 4.0]",,,,,,
曇り,61.0,0.13114754098360656,35.8875,0.17663934426229516,4,weather_txt × wind_speed_bin,"(2.0, 4.0]",,,,,,
晴,80.0,0.1125,34.67777777777778,-0.024687499999999928,4,weather_txt × wave_height_bin,,,,"(0.5, 1.0]",,,
晴,82.0,0.0975609756097561,28.6125,-0.3021341463414634,4,weather_txt × wave_height_bin,,,,"(1.0, 2.0]",,,
晴,160.0,0.1125,23.733333333333334,-0.3325,4,weather_txt × wave_height_bin,,,,"(2.0, inf]",,,
曇り,75.0,0.10666666666666667,35.8875,-0.04299999999999993,4,weather_txt × wave_height_bin,,,,"(2.0, inf]",,,
,110.0,0.09090909090909091,19.369999999999997,-0.5597727272727273,4,wind_relative × wind_speed_bin,"(-inf, 2.0]",,headwind,,,,
,132.0,0.14393939393939395,25.073684210526313,-0.09772727272727277,4,wind_relative × wind_speed_bin,"(2.0, 4.0]",,headwind,,,,
,80.0,0.15,40.11666666666667,0.5043750000000001,4,wind_relative × wind_speed_bin,"(-inf, 2.0]",,tailwind,,,,
,63.0,0.1111111111111111,34.58571428571428,-0.039285714285714424,4,wind_relative × wind_speed_bin,"(2.0, 4.0]",,tailwind,,,,
,278.0,0.10431654676258993,23.106896551724137,-0.39739208633093526,4,venue × wind_relative,,,headwind,,,,若松
,169.0,0.1242603550295858,35.02857142857143,0.08816568047337281,4,venue × wind_relative,,,tailwind,,,,若松
晴,328.0,0.13719512195121952,25.45777777777777,-0.30146341463414655,5,weather_txt,,,,,,,
曇り,96.0,0.15625,38.34,0.19812500000000005,5,weather_txt,,,,,,,
,199.0,0.1507537688442211,27.706666666666667,-0.1646231155778894,5,wind_speed_bin,"(-inf, 2.0]",,,,,,
,195.0,0.15384615384615385,30.319999999999997,-0.06707692307692317,5,wind_speed_bin,"(2.0, 4.0]",,,,,,
,61.0,0.06557377049180328,8.975,-0.8822950819672132,5,wind_speed_bin,"(4.0, 6.0]",,,,,,
,88.0,0.1590909090909091,26.37857142857143,-0.16068181818181815,5,wind_compass8,,E,,,,,
,107.0,0.12149532710280374,35.315384615384616,-0.14186915887850463,5,wind_compass8,,N,,,,,
,105.0,0.14285714285714285,18.326666666666664,-0.4763809523809524,5,wind_compass8,,NE,,,,,
,82.0,0.12195121951219512,34.88,-0.1492682926829268,5,wind_compass8,,SE,,,,,
,278.0,0.14028776978417265,25.46153846153846,-0.28561151079136693,5,wind_relative,,,headwind,,,,
,169.0,0.14201183431952663,32.270833333333336,-0.0834319526627219,5,wind_relative,,,tailwind,,,,
,97.0,0.17525773195876287,29.01176470588235,0.01690721649484522,5,wave_height_bin,,,,"(0.5, 1.0]",,,
,93.0,0.12903225806451613,27.400000000000006,-0.29290322580645145,5,wave_height_bin,,,,"(1.0, 2.0]",,,
,257.0,0.13229571984435798,27.808823529411764,-0.2642023346303502,5,wave_height_bin,,,,"(2.0, inf]",,,
,128.0,0.1640625,20.11904761904762,-0.33984375,5,air_temp_bin,,,,,"(13.999, 21.0]",,
,104.0,0.15384615384615385,34.34375,0.05673076923076923,5,air_temp_bin,,,,,"(21.0, 25.0]",,
,114.0,0.13157894736842105,22.700000000000003,-0.40263157894736834,5,air_temp_bin,,,,,"(25.0, 29.0]",,
,110.0,0.10909090909090909,38.68333333333334,-0.15599999999999992,5,air_temp_bin,,,,,"(29.0, 33.0]",,
,120.0,0.175,19.82857142857143,-0.30600000000000005,5,water_temp_bin,,,,,,"(16.999, 20.0]",
,132.0,0.13636363636363635,40.294444444444444,0.09893939393939387,5,water_temp_bin,,,,,,"(20.0, 25.0]",
,144.0,0.125,22.45555555555556,-0.43861111111111106,5,water_temp_bin,,,,,,"(25.0, 29.0]",
,60.0,0.11666666666666667,32.971428571428575,-0.23066666666666663,5,water_temp_bin,,,,,,"(29.0, 30.0]",
,456.0,0.14035087719298245,27.760937500000004,-0.2207456140350876,5,venue,,,,,,,若松
晴,168.0,0.14285714285714285,28.662500000000005,-0.18107142857142847,5,weather_txt × wind_speed_bin,"(-inf, 2.0]",,,,,,
晴,115.0,0.1565217391304348,24.29444444444444,-0.2394782608695653,5,weather_txt × wind_speed_bin,"(2.0, 4.0]",,,,,,
曇り,61.0,0.14754098360655737,47.65555555555556,0.40622950819672143,5,weather_txt × wind_speed_bin,"(2.0, 4.0]",,,,,,
晴,80.0,0.175,28.63571428571429,0.0022500000000000853,5,weather_txt × wave_height_bin,,,,"(0.5, 1.0]",,,
晴,82.0,0.12195121951219512,28.700000000000006,-0.2999999999999999,5,weather_txt × wave_height_bin,,,,"(1.0, 2.0]",,,
晴,160.0,0.13125,21.795238095238094,-0.427875,5,weather_txt × wave_height_bin,,,,"(2.0, inf]",,,
曇り,75.0,0.13333333333333333,44.440000000000005,0.18506666666666677,5,weather_txt × wave_height_bin,,,,"(2.0, inf]",,,
,110.0,0.13636363636363635,20.666666666666668,-0.43636363636363634,5,wind_relative × wind_speed_bin,"(-inf, 2.0]",,headwind,,,,
,132.0,0.17424242424242425,29.021739130434778,0.011363636363636192,5,wind_relative × wind_speed_bin,"(2.0, 4.0]",,headwind,,,,
,80.0,0.175,36.57142857142857,0.28,5,wind_relative × wind_speed_bin,"(-inf, 2.0]",,tailwind,,,,
,63.0,0.1111111111111111,34.58571428571428,-0.23142857142857154,5,wind_relative × wind_speed_bin,"(2.0, 4.0]",,tailwind,,,,
,278.0,0.14028776978417265,25.46153846153846,-0.28561151079136693,5,venue × wind_relative,,,headwind,,,,若松
,169.0,0.14201183431952663,32.270833333333336,-0.0834319526627219,5,venue × wind_relative,,,tailwind,,,,若松
